trainMSE,testMSE,trainMAE,testMAE
3.257981002935422,1.8690093561199963,1.1781820817004567,1.0474721875845456
3.115111645653925,1.138817089907195,1.266920987685629,0.8698824401706735
2.448572641140671,1.2139700679866086,1.1503810845415534,0.8531009362856421
2.554326016952182,1.7928783758553046,1.1915660468129776,1.0816667902332369
2.2950546683518467,1.6243903215840565,1.1602347245730646,1.0074823591893118
2.367765972889418,1.4974576529425787,1.174045459114999,0.9929730875091846
2.271038460421399,1.4134604942348534,1.1348360788884266,0.9944604593537474
1.888424646332346,1.7212775598308276,1.0307327116938731,0.9603040150065082
2.291325699739857,1.706805978397494,1.1267202435994803,1.0595233519833258
1.5248682080338887,1.659356486737451,0.946495213749458,0.9977359646878521
