trainMSE,testMSE,trainMAE,testMAE
1.641618223638811,2.2275540801198566,0.9949059038061467,1.1927090289225
1.5664718624798704,2.2923567750177933,1.0066756423664578,1.2101687167187738
1.7909102841909335,2.3363504471071534,1.0686207102510186,1.2353209931703946
1.7550053187931012,2.3156586473056686,1.0563272623367046,1.2110600068237287
1.8696659792293293,2.1015116584611726,1.1034655964705633,1.172533913579137
1.5898535381591823,1.5646546652743356,0.9818148151168647,0.953616539186537
1.5595655577180785,1.7214481157383152,0.9876120423635618,1.0295403159979621
1.770246278031223,2.1357622385730664,1.0909767906218273,1.188155774137308
1.558006655495459,2.0800997491517315,0.9971683404860857,1.1287235675919918
1.5354018307300357,2.4134776960861037,1.0075645118822587,1.170153424708455
