trainMSE,testMSE,trainMAE,testMAE
4.439049112960032,16.755006158580578,1.6847604686358555,3.7783891340069418
3.668564991777769,8.991027273125672,1.538532402474691,2.615121261522685
3.379835035435241,14.0770427628849,1.4104764042563667,3.534553729670314
3.7732669891626176,9.69733814414846,1.4770195194287468,2.633976987099062
4.704036558684453,22.70492143435637,1.6273490161216289,4.299971269931842
3.874067765723187,11.122883062979522,1.5728693095077761,3.05343092052358
4.125282663610098,27.836221283546354,1.555221147022614,4.939831350685596
5.269169914362754,9.28573135451459,1.7395934610516113,2.707871003582809
3.497064247506277,19.372961557250605,1.4105390749294557,4.043211416755546
4.1144192637285695,16.923289630157164,1.5605142362000008,3.7587713159445473
