trainMSE,testMSE,trainMAE,testMAE
0.42083333333333334,6.0,0.425,1.9833333333333334
0.4270833333333333,4.841666666666667,0.42916666666666664,1.8
0.45625,3.25,0.4625,1.4833333333333334
0.48541666666666666,5.525,0.49583333333333335,1.9833333333333334
0.47291666666666665,5.708333333333333,0.4625,1.8833333333333333
0.42083333333333334,3.4791666666666665,0.425,1.5916666666666666
0.46458333333333335,4.175,0.4708333333333333,1.65
0.5,2.8916666666666666,0.5083333333333333,1.4166666666666667
0.49166666666666664,3.504166666666667,0.5,1.5416666666666667
0.4375,3.754166666666667,0.44166666666666665,1.5916666666666666
