trainMSE,testMSE,trainMAE,testMAE
2.6951084684841464,3.5926929446227804,1.3157604238055394,1.4999234687872376
3.962154848349159,2.8464762295911346,1.5727971866646038,1.3314382125030149
3.488842502765598,3.4722007278078237,1.5152617254890408,1.5027620884004784
3.709663550473928,4.174554410075513,1.505574913072664,1.685659348653342
2.9984424392172455,3.0483418305668093,1.43209896753568,1.388280062460069
3.2638353847819386,4.39311365795304,1.4729406856230811,1.6563622079665925
3.330777384638693,2.575132098634325,1.4230760496622483,1.3008840476016652
3.336404050914256,2.477316120821016,1.4820319453590136,1.2090831909401436
3.5451974487414275,3.4781218972728825,1.5240681672264507,1.4182691021995908
3.117174842429558,2.8600120174933528,1.4502070975113714,1.3263994832741528
