Lambda0,amplitude2,time-scale2
2.2614521118314586,1.0330632910004132,4.651319205573313
3.297909460901672,1.2735760420203426,5.2169676035933135
2.7373825164480654,1.2121766955511932,4.5128666065438345
2.229988704910864,1.1857269875653915,4.902844316145287
3.5201883819297595,1.0847272195506366,5.323477255860718
2.2496287688004086,1.1922608911704902,4.889135148143102
2.0502695271778655,1.3416818541696676,5.446030102206531
3.2795438870595666,1.4261736065668014,5.773354594829099
2.128258871317773,1.1457165008314942,5.227730284729757
2.7210264679442333,1.1213363105727232,5.925109165868066
3.3699217291828663,0.9084260878947018,5.558030999809646
2.0197312105530703,1.1660515236799807,4.83371917017565
2.4958344888509765,1.0667713429771106,5.5068820480479985
2.5052128067038066,1.1108840831453985,5.205112285808637
2.566373665066028,1.0782347408819741,5.193986540377593
2.247703354586897,1.147173586305082,5.249875881012302
2.5588618838385107,1.28736968764647,5.470440767409331
2.1522290455534954,1.2649435238436415,4.94285908560595
3.0170116296156926,1.2405106444517215,5.804693250884515
2.0914718901935516,1.2398826236851508,6.61905394441773
2.799318475977268,1.0363987261822487,6.2376846980616945
1.6008199079349783,1.308820521879799,5.475522109907834
3.633764694243229,1.0245643405972082,4.492571394985612
3.4796656855445813,1.012103432937709,4.121932248347792
2.653645172487226,1.061062651828246,5.362263996394573
2.6975706545373477,0.9579050292464941,5.348037775635018
2.520096832394829,1.0656208687794289,4.888391816254116
2.4020523163722927,1.196081054740499,5.938953018545097
2.3806223495868983,1.1223369845758053,5.505030016493302
2.186078171193759,1.1384253471568264,5.206001552645154
3.3623098731399974,1.1775754508950906,4.900789850962024
2.1569627798618733,1.2763591422695753,5.310936723436783
1.8358823376730724,1.48646707674422,7.759140132945537
2.1802568278165415,1.24936391380638,6.8449438520086385
2.5138662654422435,1.2542178663188845,5.788777054551417
2.644050974854192,1.2373487446153637,6.267981280232093
3.2153177343221717,1.3981416343485082,5.632054027403829
2.6238657112025354,1.2211329102775614,5.584561865455294
2.6289845182518876,1.280922824009597,5.717319863566536
1.743759470722879,1.3619147089445836,5.516773818708902
2.039745066223581,1.8411105044691818,8.317780748288289
2.404098879049297,1.25830748764339,5.065861559358442
2.9854807447624236,1.2108654125510256,6.04802911853679
2.0251280883737564,1.3214917378358608,4.895590096261093
2.552263689002377,1.1916936349362612,4.254512957757004
2.4874579547873124,1.2675292816581194,6.378854099640893
2.4869356872706767,1.2524233918382475,6.630570658963985
